Column1,name,gender,age,height,nationality,weight,sports,hours_per_day,strength,agility,mental,federation,year_start,rank
4,Albertha Rodriguez,Female,29,158,USA,72,MMA,1,5,7,7,Consejo Global de Lucha Libre,2012,360
6,Alexander Boone,Male,39,178,USA,93,Karate,2,7,5,6,Consejo Global de Lucha Libre,2000,418
9,Alice Dudley,Female,32,174.5,USA,89,Karate,3,5,5,5,Fight Zone Wrestling,2006,494
12,Amy Baker,Female,42,180,USA,98,"Boxing, Karate",4,4,7,8,Consejo Global de Lucha Libre,1996,339
16,Angela Adams,Female,31,168,USA,85,MMA,3,6,6,7,World Wrestling Entertainment,2011,216
24,Anthony Butler,Male,29,181,USA,99,Karate,2,6,5,7,Fight Zone Wrestling,2009,444
25,Anthony Smith,Male,20,176,USA,90,"Boxing, MMA",2,7,6,7,Fight Zone Wrestling,2021,255
28,Antonio Beard,Male,30,186.5,USA,102,MMA,2,8,5,5,Fight Zone Wrestling,2003,222
29,Arthur Hacker,Male,35,181.5,USA,98,"Boxing, Kick-Boxing",3,9,6,9,Consejo Global de Lucha Libre,2005,108
31,Arthur Sturm,Male,31,184,USA,100,"Boxing, Karate, Kick-Boxing",3,6,6,6,World Wrestling Entertainment,2013,297
33,Barbara Carlson,Female,31,171.5,USA,87,"Karate, Kick-Boxing",5,6,8,5,Consejo Global de Lucha Libre,2009,394
44,Betty Rice,Female,35,158,USA,72,"Boxing, MMA",1,5,8,5,Fight Zone Wrestling,2002,279
47,Beverley Hutchins,Female,25,161,USA,75,"Boxing, Kick-Boxing",3,4,8,6,Fight Zone Wrestling,2016,472
51,Bonnie Felt,Female,31,171.5,USA,86,Karate,2,5,8,7,World Wrestling Entertainment,2007,307
52,Bonnie Macomber,Female,40,178,USA,93,Boxing,2,5,7,6,World Wrestling Entertainment,2001,349
57,Brooke Teixeira,Female,45,173,USA,89,Boxing,0,5,7,5,Consejo Global de Lucha Libre,1991,430
61,Caridad Phillips,Female,19,170.5,USA,86,"Kick-Boxing, MMA",3,4,7,7,Fight Zone Wrestling,2017,335
62,Carla Walters,Female,35,169.5,USA,87,Karate,2,5,8,8,Consejo Global de Lucha Libre,2005,355
67,Carol Byram,Female,36,158,USA,72,"Boxing, Karate",3,5,9,7,World Wrestling Entertainment,2003,220
70,Casey Lowery,Female,32,172,USA,84,"Boxing, MMA",1,7,7,8,Fight Zone Wrestling,2004,96
71,Catrina Kidwell,Female,32,172,USA,86,Boxing,2,5,7,6,Consejo Global de Lucha Libre,2006,469
72,Chad Scheller,Male,44,177,USA,93,MMA,2,8,8,7,Fight Zone Wrestling,1993,29
74,Charity Maldanado,Female,38,166.5,USA,83,"Boxing, Kick-Boxing, MMA",4,5,9,7,World Wrestling Entertainment,2006,47
79,Charles Karle,Male,33,180.5,USA,97,Karate,3,9,6,7,World Wrestling Entertainment,2007,164
82,Christina Harder,Female,26,184.5,USA,99,"Boxing, Karate, Kick-Boxing, MMA",5,6,9,6,World Wrestling Entertainment,2012,31
83,Christine Barnard,Female,31,175,USA,88,"Boxing, Karate, MMA",3,6,9,8,Consejo Global de Lucha Libre,2003,55
84,Christine Cerverizzo,Female,28,165.5,USA,77,"Karate, MMA",2,6,7,7,World Wrestling Entertainment,2011,158
88,Christopher Estes,Male,30,179,USA,93,MMA,1,8,5,7,Fight Zone Wrestling,2016,239
91,Cindy Chappell,Female,22,162,USA,75,"Judo, Kick-Boxing",5,6,8,8,Fight Zone Wrestling,2015,310
92,Cindy Conway,Female,26,166.5,USA,81,Judo,1,4,8,8,Consejo Global de Lucha Libre,2012,447
93,Clarence Cote,Male,29,179.5,USA,95,"Boxing, Judo, Kick-Boxing",4,7,7,6,Fight Zone Wrestling,2008,248
98,Cory Robbins,Male,27,180.5,USA,92,Kick-Boxing,2,9,6,5,Fight Zone Wrestling,2017,377
100,Craig Elliott,Male,40,192,USA,109,"Boxing, Kick-Boxing, MMA",3,8,6,6,Consejo Global de Lucha Libre,1999,61
104,Cynthia Walker,Female,28,165.5,USA,79,"Kick-Boxing, MMA",3,6,9,8,Consejo Global de Lucha Libre,2007,77
108,Daniel Kearns,Male,34,185.5,USA,104,"Boxing, Kick-Boxing",3,8,5,8,World Wrestling Entertainment,2006,142
110,Daniel Slauson,Male,23,181.5,USA,96,"Kick-Boxing, MMA",2,6,4,6,Consejo Global de Lucha Libre,2014,380
